rank,name,positive ratings,negative ratings,total reviews,rating percentage
381.,5D Chess With Multiverse Time Travel,"7,258",234,"7,492",93.68%
382.,Grimhook,"2,959",61,"3,020",93.68%
383.,候鸟,"2,736",53,"2,789",93.68%
384.,Super Lesbian Animal RPG,"1,327",9,"1,336",93.68%
385.,Noita,"66,918","3,343","70,261",93.67%
386.,Spiritfarer®: Farewell Edition,"37,694","1,760","39,454",93.66%
387.,Mini Metro,"14,535",573,"15,108",93.66%
388.,Nightmare Kart,"4,749",130,"4,879",93.66%
389.,The Legend of Heroes: Trails in the Sky SC,"3,293",74,"3,367",93.66%
390.,ASTLIBRA ～生きた証～ Revision,"23,376","1,015","24,391",93.65%
391.,Bug Fables: The Everlasting Sapling,"4,948",139,"5,087",93.65%
392.,My Friend Pedro,"25,834","1,144","26,978",93.64%
393.,TCG Card Shop Simulator,"8,912",311,"9,223",93.64%
394.,Hidden Folks,"8,776",305,"9,081",93.64%
395.,Living With Sister: Monochrome Fantasy,"6,536",206,"6,742",93.64%
396.,Winter Memories,"5,999",183,"6,182",93.64%
397.,Touhou Hero of Ice Fairy,"4,860",136,"4,996",93.64%
398.,SuchArt!,"4,041",103,"4,144",93.64%
399.,BLACK BOX LSS - 闪耀的永生者,"1,376",11,"1,387",93.63%
400.,Abiotic Factor,"16,466",673,"17,139",93.62%
401.,Goat Simulator 3,"4,369",117,"4,486",93.62%
402.,The Room VR: A Dark Matter,"3,469",82,"3,551",93.62%
403.,Frog Detective 3: Corruption at Cowboy County,"1,612",18,"1,630",93.62%
404.,Homicipher: Trial,"1,439",13,"1,452",93.62%
405.,Superflight,"10,643",394,"11,037",93.61%
406.,There is no game: Jam Edition 2015,"6,524",208,"6,732",93.61%
407.,Metal: Hellsinger,"13,916",553,"14,469",93.60%
408.,英雄黄昏,"2,939",63,"3,002",93.60%
409.,missed messages.,"14,338",574,"14,912",93.59%
410.,Downwell,"7,710",262,"7,972",93.59%
411.,Lethal League Blaze,"6,025",188,"6,213",93.59%
412.,No Case Should Remain Unsolved,"4,556",126,"4,682",93.59%
413.,Human Fall Flat,"193,738","10,823","204,561",93.58%
414.,The Jackbox Party Pack 3,"5,810",179,"5,989",93.58%
415.,Mad Father,"4,980",144,"5,124",93.58%
416.,Downfall - A Slay the Spire Fan Expansion,"3,507",85,"3,592",93.58%
417.,Echo Point Nova,"1,486",15,"1,501",93.58%
418.,Age of Empires II: Definitive Edition,"142,088","7,775","149,863",93.57%
