Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-06-10,La Chinoise,1967,https://boxd.it/4lW08L,,,,2023-06-09
2023-06-20,All the Women in the World,1966,https://boxd.it/4oKAq5,4,,,2023-06-19
2023-06-21,Lady in the Water,2006,https://boxd.it/4pbWql,3.5,,,2023-06-20
2023-06-21,The New York Ripper,1982,https://boxd.it/4pcfAJ,3.5,,,2023-06-20
2023-07-03,The Man Who Knew Too Much,1956,https://boxd.it/4sz20h,4.5,,,2023-07-01
2023-07-03,The Doom Generation,1995,https://boxd.it/4sz37j,3,,,2023-07-01
2023-07-03,Peppermint Frappé,1967,https://boxd.it/4sE9Db,3.5,,,2023-07-02
2023-07-03,Vertigo,1958,https://boxd.it/4sGagV,3.5,,,2023-07-02
2023-07-18,Asteroid City,2023,https://boxd.it/4x8m7N,3.5,,,2023-07-17
2023-07-24,She-Devil,1989,https://boxd.it/4zfh4L,5,,,2023-07-22
2023-07-29,The Hateful Eight,2015,https://boxd.it/4BFvG5,3.5,,,2023-07-29
2023-08-03,But I'm a Cheerleader,1999,https://boxd.it/4DwZPL,4,,,2023-08-03
2023-08-17,No Hard Feelings,2023,https://boxd.it/4I3JKx,3.5,,,2023-08-16
2023-08-23,Dazed and Confused,1993,https://boxd.it/4JYiK9,4,,,2023-08-22
2023-08-29,Secrets & Lies,1996,https://boxd.it/4LEZQR,4.5,,,2023-08-28
2023-09-05,Barbie,2023,https://boxd.it/4NIdYJ,0.5,,,2023-09-04
2023-09-17,Talk to Me,2022,https://boxd.it/4RkDzt,1,,,2023-09-17
2023-09-18,Past Lives,2023,https://boxd.it/4Rx9An,5,,,2023-09-17
2023-09-19,Freddy Got Fingered,2001,https://boxd.it/4RL857,5,,,2023-09-18
2023-09-19,You Are So Not Invited to My Bat Mitzvah,2023,https://boxd.it/4RQDI5,2.5,,,2023-09-18
2023-09-19,Theater Camp,2023,https://boxd.it/4RS4T7,4.5,,,2023-09-18
2023-09-25,No One Will Save You,2023,https://boxd.it/4Txpob,3,,,2023-09-24
2023-09-26,Cloverfield,2008,https://boxd.it/4TEmDV,4,,,2023-09-25
2023-09-26,10 Cloverfield Lane,2016,https://boxd.it/4TGXDx,,Yes,,2023-09-25
2023-09-28,Bottoms,2023,https://boxd.it/4Uckwh,4,,,2023-09-27
