Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-09-06,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/27pGiF,,,,2021-01-01
2021-01-06,The One-Armed Swordsman,1967,https://boxd.it/1zfvpJ,5,,,2021-01-04
2021-01-08,O Futuro é um Vazio,2020,https://boxd.it/1zrihV,5,,,2021-01-06
2021-01-08,Sparrow,2008,https://boxd.it/1zwjYV,5,,,2021-01-08
2021-01-19,Palm Springs,2020,https://boxd.it/1BgStz,,,,2021-01-08
2021-01-10,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1zRHXJ,5,,,2021-01-10
2021-01-10,Borat Subsequent Moviefilm,2020,https://boxd.it/1zRI7T,5,,,2021-01-10
2021-01-11,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,2013,https://boxd.it/1A1B7R,3.5,,,2021-01-11
2021-02-09,Happy Death Day 2U,2019,https://boxd.it/1EjbQX,2,,,2021-02-07
2021-02-09,Empire of Passion,1978,https://boxd.it/1Ejb6Z,4,,,2021-02-09
2021-02-24,Buffalo '66,1998,https://boxd.it/1Gt27R,4,,,2021-02-24
2021-02-26,Friendly Beast,2017,https://boxd.it/1GFS2D,4,,,2021-02-25
2021-02-26,M8 - When Death Rescues Life,2019,https://boxd.it/1GG69X,3.5,,,2021-02-25
2021-02-26,Dazed and Confused,1993,https://boxd.it/1GGZ7R,4,,,2021-02-26
2021-03-06,Before Sunrise,1995,https://boxd.it/1HM1Gt,1.5,,,2021-03-06
2021-03-06,Pent-House Mouse,1963,https://boxd.it/1HM4ex,5,,,2021-03-06
2021-03-11,Blacula,1972,https://boxd.it/1Is9yV,1,,,2021-03-11
2021-03-12,Shaft,1971,https://boxd.it/1Izx5H,4,,,2021-03-12
2021-03-13,Horror Noire: A History of Black Horror,2019,https://boxd.it/1IAmZr,4,,,2021-03-12
2021-03-13,Sound of Metal,2019,https://boxd.it/1IBlGl,4,,,2021-03-12
2021-03-13,Candyman,1992,https://boxd.it/1IHmXT,1.5,,,2021-03-13
2021-03-15,Minari,2020,https://boxd.it/1IUQXF,2,,,2021-03-14
2021-03-15,Da 5 Bloods,2020,https://boxd.it/1IXF0X,3.5,,,2021-03-14
2021-03-18,Mishima: A Life in Four Chapters,1985,https://boxd.it/1Jod6n,2,,,2021-03-18
2021-03-19,"Black Coal, Thin Ice",2014,https://boxd.it/1JqBQD,2,,,2021-03-18
2021-03-19,News of the World,2020,https://boxd.it/1JrwPH,3,,,2021-03-18
